Index,Dictionary,Hiragana,JLPT,iAdjective
1,危ない,あぶない,N5,true
2,赤い,あかい,N5,true
3,明るい,あかるい,N5,true
4,甘い,あまい,N5,true
5,青い,あおい,N5,true
6,新しい,あたらしい,N5,true
7,暖かい,あたたかい,N5,true
8,熱い,あつい,N5,true
9,厚い,あつい,N5,true
10,暑い,あつい,N5,true
11,便利,べんり,N5,false
12,小さい,ちいさい,N5,true
13,近い,ちかい,N5,true
14,大丈夫,だいじょうぶ,N5,false
15,大好き,だいすき,N5,false
16,古い,ふるい,N5,true
17,太い,ふとい,N5,true
18,元気,げんき,N5,false
19,速い,はやい,N5,true
20,早い,はやい,N5,true
21,下手,へた,N5,true
22,低い,ひくい,N5,true
23,暇,ひま,N5,false
24,広い,ひろい,N5,true
25,本当,ほんとう,N5,false
26,欲しい,ほしい,N5,false
27,細い,ほそい,N5,true
28,色々,いろいろ,N5,false
29,忙しい,いそがしい,N5,true
30,痛い,いたい,N5,true
31,嫌,いや,N5,false
32,丈夫,じょうぶ,N5,false
33,上手,じょうず,N5,true
34,辛い,つらい,N5,true
35,軽い,かるい,N5,true
36,可愛い,かわいい,N5,true
37,結構,けっこう,N5,false
38,黄色い,きいろい,N5,true
39,嫌い,きらい,N5,false
40,綺麗,きれい,N5,true
41,汚い,きたない,N5,true
42,暗い,くらい,N5,true
43,黒い,くろい,N5,true
44,丸い,まるい,N5,true
45,真っ直ぐ,まっすぐ,N5,false
46,不味い,まずい,N5,true
47,短い,みじかい,N5,true
48,難しい,むずかしい,N5,true
49,長い,ながい,N5,true
50,賑やか,にぎやか,N5,false
51,温い,ぬるい,N5,true
52,美味しい,おいしい,N5,true
53,重い,おもい,N5,true
54,面白い,おもしろい,N5,true
55,多い,おおい,N5,true
56,大きい,おおきい,N5,true
57,遅い,おそい,N5,true
58,立派,りっぱ,N5,false
59,寒い,さむい,N5,true
60,狭い,せまい,N5,true
61,白い,しろい,N5,true
62,静か,しずか,N5,true
63,好き,すき,N5,false
64,少ない,すくない,N5,true
65,涼しい,すずしい,N5,true
66,多分,たぶん,N5,false
67,大変,たいへん,N5,false
68,大切,たいせつ,N5,false
69,高い,たかい,N5,true
70,沢山,たくさん,N5,false
71,楽しい,たのしい,N5,true
72,遠い,とおい,N5,true
73,詰まらない,つまらない,N5,false
74,冷たい,つめたい,N5,true
75,強い,つよい,N5,true
76,煩い,うるさい,N5,true
77,薄い,うすい,N5,true
78,若い,わかい,N5,true
79,悪い,わるい,N5,true
80,易しい,やさしい,N5,true
81,安い,やすい,N5,true
82,良い,いい,N5,true
83,弱い,よわい,N5,true
84,有名,ゆうめい,N5,true
85,安心,あんしん,N4,true
86,安全,あんぜん,N4,true
87,浅い,あさい,N4,true
88,大事,だいじ,N4,true
89,不便,ふべん,N4,true
90,深い,ふかい,N4,true
91,複雑,ふくざつ,N4,true
92,反対,はんたい,N4,true
93,恥ずかしい,はずかしい,N4,true
94,変,へん,N4,false
95,酷い,ひどい,N4,true
96,久しぶり,ひさしぶり,N4,false
97,いっぱい,いっぱい,N4,false
98,一生懸命,いっしょうけんめい,N4,false
99,自由,じゆう,N4,true
100,十分,じゅうぶん,N4,true
101,悲しい,かなしい,N4,true
102,簡単,かんたん,N4,true
103,硬い,かたい,N4,true
104,厳しい,きびしい,N4,true
105,危険,きけん,N4,true
106,細かい,こまかい,N4,true
107,怖い,こわい,N4,true
108,急,きゅう,N4,true
109,珍しい,めずらしい,N4,true
110,無理,むり,N4,true
111,眠い,ねむい,N4,true
112,苦い,にがい,N4,true
113,可笑しい,おかしい,N4,true
114,寂しい,さびしい,N4,true
115,盛ん,さかん,N4,false
116,親切,しんせつ,N4,true
117,素晴らしい,すばらしい,N4,true
118,凄い,すごい,N4,true
119,正しい,ただしい,N4,true
