Index,Dictionary,Hiragana,JLPT,typeII
1,浴びる,あびる,N5,false
2,上げる,あげる,N5,false
3,開ける,あける,N5,true
4,開く,あく,N5,true
5,洗う,あらう,N5,true
6,ある,ある,N5,false
7,歩く,あるく,N5,true
8,遊ぶ,あそぶ,N5,true
9,会う,あう,N5,true
10,違う,ちがう,N5,true
11,出す,だす,N5,true
12,出かける,でかける,N5,true
13,出る,でる,N5,true
14,吹く,ふく,N5,true
15,降る,ふる,N5,true
16,入る,はいる,N5,true
17,始まる,はじまる,N5,true
18,履く,はく,N5,true
19,話す,はなす,N5,true
20,晴れる,はれる,N5,true
21,貼る,はる,N5,true
22,走る,はしる,N5,true
23,働く,はたらく,N5,true
24,引く,ひく,N5,true
25,弾く,ひく,N5,true
26,行く,いく,N5,false
27,入れる,いれる,N5,true
28,要る,いる,N5,true
29,居る,いる,N5,true
30,言う,いう,N5,false
31,帰る,かえる,N5,false
32,返す,かえす,N5,true
33,掛かる,かかる,N5,true
34,掛ける,かける,N5,true
35,書く,かく,N5,true
36,借りる,かりる,N5,true
37,貸す,かす,N5,true
38,買う,かう,N5,true
39,消す,けす,N5,true
40,消える,きえる,N5,true
41,聞く,きく,N5,true
42,切る,きる,N5,true
43,着る,きる,N5,true
44,困る,こまる,N5,true
45,答える,こたえる,N5,true
46,曇る,くもる,N5,true
47,来る,くる,N5,false
48,曲がる,まがる,N5,true
49,待つ,まつ,N5,true
50,磨く,みがく,N5,true
51,見る,みる,N5,false
52,見せる,みせる,N5,true
53,持つ,もつ,N5,true
54,鳴く,なく,N5,true
55,無くす,なくす,N5,true
56,並べる,ならべる,N5,true
57,並ぶ,ならぶ,N5,true
58,習う,ならう,N5,true
59,寝る,ねる,N5,true
60,登る,のぼる,N5,true
61,飲む,のむ,N5,true
62,乗る,のる,N5,false
63,脱ぐ,ぬぐ,N5,true
64,覚える,おぼえる,N5,true
65,起きる,おきる,N5,true
66,置く,おく,N5,true
67,降りる,おりる,N5,true
68,教える,おしえる,N5,true
69,押す,おす,N5,true
70,終わる,おわる,N5,true
71,泳ぐ,およぐ,N5,true
72,咲く,さく,N5,true
74,差す,さす,N5,true
75,閉まる,しまる,N5,true
76,閉める,しめる,N5,true
